Research and Development,GBP,252.55,01.07.2020,Shalne Ewings
Marketing,GBP,322.40,29.11.2020,Emalee Pavitt
Legal,EUR,773.62,09.12.2020,Stanislaus Jaze
Engineering,GBP,303.74,21.03.2020,Hammad Humm
Product Management,GBP,657.79,17.05.2020,Amy Copestick
Engineering,GBP,962.64,01.04.2020,Carlen Rummings
Human Resources,USD,145.24 ,13.11.2020,Art O' Reagan
Legal,JPY,985.11,29.07.2020,Rozanne MacGiffin
Research and Development,JPY,111.98,02.05.2020,Jori Borkin
Product Management,EUR,523.98,11.07.2020,Marj Fraczek
Research and Development,USD,607.94 ,12.08.2020,Inger Gibbieson
Marketing,JPY,252.76,29.09.2020,Wilek Breadon
Services,JPY,916.98,19.03.2020,Urbanus Worsam
Engineering,EUR,701.44,15.09.2020,Shermy Dikles
Legal,JPY,712.79,16.09.2020,Audie Pidduck
Business Development,JPY,653.61,09.05.2020,Tommy Lidgate
Accounting,USD,104.46 ,24.05.2020,Waylin Denisovo
Product Management,USD,555.78 ,27.07.2020,Angus Crunkhurn
Product Management,JPY,971.02,06.05.2020,Axel Janczyk
Engineering,USD,441.32 ,13.02.2020,Alanah Strang
Research and Development,EUR,305.99,03.02.2020,Paco Brugmann
Research and Development,USD,541.88 ,16.01.2020,Morse Woltman
Sales,GBP,173.29,21.05.2020,Neale Doubleday
Human Resources,JPY,701.34,30.03.2020,Margaretta Antoinet
Engineering,EUR,260.22,14.09.2020,Zach Vail
Human Resources,GBP,551.84,26.08.2020,Jedediah Sainteau
Services,JPY,303.62,14.04.2020,Brice Shermore
Support,JPY,173.21,14.02.2020,Carly Bockh
Legal,EUR,184.84,23.01.2020,Carmelle Mourgue
Sales,EUR,819.25,25.01.2020,Melodie Levinge
Support,GBP,330.29,17.05.2020,Culley Andrioni
Accounting,JPY,679.22,12.05.2020,Ollie Skacel
Services,GBP,521.50,06.08.2020,Estella Nijssen
Human Resources,USD,104.45 ,24.07.2020,Jo ann Playford
Marketing,EUR,197.75,12.06.2020,Mirelle Exall
Legal,USD,740.96 ,12.02.2020,Dacey Shobbrook
Engineering,GBP,94.72,17.07.2020,Inglis Robeiro
Product Management,USD,472.54 ,16.03.2020,Avis Smead
Research and Development,USD,23.94 ,01.11.2020,Sara-ann Dimitriades
Legal,EUR,236.71,21.08.2020,Olwen Bannester
Services,GBP,493.90,16.03.2020,Powell Norway
Engineering,EUR,714.75,29.08.2020,Fleur Peizer
Product Management,EUR,312.72,06.12.2020,Chicky Hatchell
Research and Development,JPY,907.03,18.09.2020,Tedie Neat
Engineering,USD,125.36 ,23.01.2020,Oren Bampton
Engineering,EUR,749.82,15.12.2020,Hollyanne Pheasant
Accounting,JPY,630.71,28.10.2020,Juline Moody
Training,JPY,806.50,27.02.2020,Riki Brechin
Product Management,USD,309.22 ,24.09.2020,Terencio Idney
Support,USD,712.44 ,28.09.2020,Ad Brennan
Legal,EUR,747.66,03.10.2020,Brade Geeves
Product Management,USD,461.13 ,20.07.2020,Minnnie Clitherow
Research and Development,EUR,402.53,01.04.2020,Dotti Scoular
Research and Development,JPY,585.72,08.03.2020,Ruthie McAloren
Engineering,USD,410.52 ,03.06.2020,Damian Ormond
Human Resources,GBP,762.25,30.05.2020,Godfree Cleminshaw
Legal,GBP,710.78,22.02.2020,Dorene Brumen
Training,USD,976.28 ,27.06.2020,Jamie Beeston
Marketing,JPY,729.23,15.11.2020,Aldwin Skegg
Business Development,USD,721.52 ,21.12.2020,Abbott Tenwick
Legal,EUR,770.41,28.12.2020,Astra Baltrushaitis
Research and Development,USD,772.31 ,07.03.2020,Brockie Schoenfisch
Training,JPY,801.02,20.08.2020,Alla Oxterby
Sales,USD,490.23 ,07.04.2020,Hedvige Vines
Support,EUR,858.42,06.04.2020,Jessalin Moulster
Accounting,JPY,311.36,10.12.2020,Luce Hurdis
Legal,JPY,195.98,26.01.2020,Elbertina Turbayne
Marketing,USD,536.61 ,27.02.2020,Atalanta Antuoni
Engineering,JPY,418.71,13.03.2020,Dore Grieves
Marketing,USD,793.47 ,25.03.2020,Stu Rugiero
Accounting,USD,722.43 ,06.01.2020,Norma Shapira
Business Development,USD,716.08 ,11.03.2020,Ruggiero Powner
Legal,USD,449.20 ,05.04.2020,Zaneta Bruineman
Research and Development,USD,850.85 ,22.08.2020,Durant Syrie
Engineering,EUR,206.78,09.11.2020,Saloma Stanbrooke
Marketing,JPY,821.27,27.06.2020,Teador Rainford
Marketing,EUR,885.22,02.01.2020,Lucas Vere
Product Management,GBP,698.19,14.02.2020,Jeannette Lowdyane
Business Development,GBP,39.49,07.11.2020,Davidde Puddan
Human Resources,EUR,109.44,10.11.2020,Martie Bentson
Research and Development,GBP,823.63,08.08.2020,Carlee Ranshaw
